NAME,LEVEL,SUBJECT,COST,INTENSITY,SKILL,DC,DESCRIPTION,ID
HERITAGE CHAIN,BASIC,NECROMANCY,1800,28,RESEARCH,12,"A pale, weathered chain where every link is a slightly different tone and shimmers with a slightly different magic to the touch. While you are interacting with someone, you can roll Research, DC12 to activate the Chain’s magic and psychically inspect the target’s bloodline. For each degree of success, you can gain one piece of information about them that a relative has known, or learn the name and burial location of one deceased relative. If you communicate with a deceased relative you’ve learned about this way, that relative will be more likely to be friendly to you.",artifact_52JnFxiJRYnPr3
SLIPSTONE,BASIC,SUMMONING,1800,27,STEALTH,13,"A perfectly smooth stone that refracts odd colors brighter than the light around it, harvested from planes that gloomcatchers occupy, humanoid creatures known to be able to slip into any space. While this artifact is equipped, you can see clearly even in total darkness, including magical darkness, and any time you encounter a material light can pass through but you cannot, such as glass or a grate, you can roll Stealth, DC13. If the surface is not magically warded, then on success, you pass through, and for each degree of success past the first, you can bring an additional person with you. If the surface is magically warded, you do not pass through, but you learn one relevant thing about the ward per degree of success.",artifact_53oGBp8Tj54E3h
BLESSING OF MIDNIGHT,BASIC,RESTORATION,1800,26,HIDE OBJECT,11,"An artifact that’s difficult to wear mostly from a stylistic perspective, a dramatic choker collar made of an intricate weave of lunar silver and black lunar platinum. You can tap the front of the collar and draw out a small orb of pure white light, rolling Hide Object, DC11 and taking one orb per degree of success. You can give someone, including yourself, one of these orbs to bestow a celestial blessing to make them harder to detect for 10 minutes, during which time any check to find them that does not beat your Hide Object check will not find them, even if it beats any other check they make to avoid detection.",artifact_54IpRhfxZfa1wV
ABYSSAL WORM,BASIC,DEMONOLOGY,1500,28,TRACKING,13,"A twisted bangle in the shape of a snake that slowly turns around your wrist when worn. While this artifact is equipped, you can sense automatically when something powerful or relevant is hidden in the space you are in. You can activate the Worm by rolling Tracking, DC13. On success, the bangle animates as a long, thin worm of pure darkness, slipping off your wrist and moving freely. The Worm can move into any space that water can fit into, and it behaves as a creature with 2 Resolve and rolling 0/8. For each degree of success, you can give it one task that it will attempt to accomplish to the best of its ability and then return to you, or you can instantly summon it back to your wrist at any point. Either way, when it returns, it will carry anything it picked up, and you can choose to instantly be aware of everything it experienced as if seeing it through the Worm’s senses.",artifact_55QFTROu0KdNar
LURKER’S LENS,STANDARD,CHRONOMANCY,3000,38,"INVESTIGATION, COMPREHEND",14,"A brassy old frame with a thick glass lens that shimmers in odd colors at different angles, like a magnifying glass. When light passes through, it falls on the room as it would have in the past, and the ornate brass dials in the frame can be tuned to fine-tune its distance into the past. You can make an Investigation or Comprehend check with the Lens, DC14, and for each degree of success, the GM will give you one piece of information on the area from a time period in the recent past of your choice. Once used, you cannot use the Lens on the same place again, unless you’re inspecting a different time period.",artifact_56Wy0BIWQW0ahk
FABELYN’S PEN OF WHISPERS,STANDARD,CHRONOMANCY,2800,35,CONCENTRATION,10,"A brassy-gold quill pen that disappears until it is ready to be manifested in your hand, created by the great chronomancer Fabelyn while she was in her pen era. At any point, you can write a symbol unique to you onto a surface that can hold ink with this pen. Once you have, you can write in the air with the Pen, and the message will transcribe onto the surface. You can also write through time: roll Concentration, DC10. For each degree of success, you can write one word, up to five minutes in the past or the future. Writing into the past can result in unexpected temporal changes.",artifact_573yS8bx1UVGwv
VAMPIRE’S FOOTSTEPS,STANDARD,ILLUSION,3500,35,WILLPOWER,18,"Two tiny black bands that can be affixed to your ankles, upon which they sink into your skin and coat your feet and ankles in a faint black second skin. While activated in this way, you can see clearly in the dark, and you never make noise from movement unless you choose to. You can also pull up the artifact’s magic to project a terrifying visage. Roll Willpower, DC18. On success, anyone who sees you and doesn’t know it’s coming must Resist Fear, DC14. You can remove the bands from your skin at any time, but they can’t be reinserted for another 24 hours. Popular with goths.",artifact_583DpYZR00MO8E
HAND OF THE VOID,STANDARD,WARDING,3100,40,"ENDURANCE, CONCENTRATION",20,"A thin, silvery glove that appears unremarkable until it is worn on the left hand, when it turns into a silver gauntlet with rivulets of black antimagic running through the palm and fingers like blood vessels. At any point, you can place the Hand on a rune, enchanted object, wand, potion, or block a spell with it, and roll Endurance or Concentration, DC20, and block the magic effect for 5 seconds per degree of success, after which point the magic resurges like a backed-up dam. The GM may declare that a given magic effect is too strong to be blocked this way, but only truly rare magic can escape the effect. And all the rest can talk to the hand. (Artificers aren’t very funny.)",artifact_59jYl8z3hbTASD
FACE STEALER,STANDARD,ILLUSION,3000,39,DECEPTION,15,"A hollow disc that just fits into your hand on a thick golden chain, with inscriptions around the edge of it. You can hold the disc up to a person’s face and call up a flash of magic from it, and make a DC15 Deception check. On a success, the disc becomes filled with a silvery, shimmery film that moves like a trapped wall of water, and at any point, you can touch the film and instantly disguise yourself magically as the person whose face you copied for ten minutes. Anyone attempting to see through it must make a Perception check versus your Deception check +6. Once you have used the stored disguise, it disappears from the disc, and it can then be used to capture a face again. Anyone who is conscious when it flashes in their face will be able to feel it is casting magic on their face, but if they want to determine what kind, they must roll Comprehend versus your Deception check. If someone is sleeping when it is used on them, the flash will wake them up if you fail your Deception check.",artifact_60OR7yxc8hqPht
DARK LADY’S WHISPER,STANDARD,DEMONOLOGY,2800,44,PERSUASION,N/A,"A small charm in the shape of a heart with a teardrop from the bottom that hangs on a strange, silky string that bears the name of whoever is attuned to it. If you are attuned to it, you can press the charm into your face, at which point it sinks into the skin, appearing like a tattoo in the shape of the charm and has an aura that makes it obvious at a glance that it is a demonic artifact. When it is in your skin, you can establish a telepathic communication with someone you can see by rolling Persuasion versus their Willpower. On success, you can communicate telepathically both ways for as long as you want to keep the channel open, and any Charm checks you make through this channel are made more irresistible by the Lady of Darkness’s insidious magic, adding one degree of success to all checks, potentially turning a failure into a success. On a failure, they know you tried to invade their mind with demonic magic, and are unlikely to appreciate it. You can remove the charm from your skin at any point, but you must Resist (DC14) when you do.",artifact_61PXzrE3tkP5xd
ESSENCE OF THE CRYSTAL,STANDARD,TRANSMUTATION,3800,35,IMPROVISE,12,"A small, crystal vial with a beautiful, ornate stopper on top. You can open it and pour out a thick, clear fluid onto an inorganic object and roll Improvise, DC12. On success, the object is changed to a material of your choice for 24 hours, during which time the vial cannot be opened again, as it slowly starts to build up more fluid inside. Only the part of the object covered by the fluid will change, which is often not enough to cover a whole object but just part of it. Smells like daisies, but you shouldn’t sniff it too close or you’ll get it on your face and turn into wood.",artifact_62CJIQDiO3JiLm
ELERY’S PUPPET,STANDARD,TELEKINESIS,3000,37,"CONCENTRATION, SLEIGHT OF HAND",11,"An enchanted doll that’s only a little creepy. The doll looks like a human or creature of your choice, and you can mentally command it at any time to change its features to look however you want, but it will always remain six inches tall until you activate its command. Roll Concentration or Sleight of Hand, DC11, to perform with the Puppet, at which point it expands to a full-size version of the creature of your choice, up to 10 feet tall, for 1 minute per degree of success. During this time, you control it telekinetically as if it is an extension of yourself, and it can speak with whatever voice you want it to use. It cannot cast any magic, but it can perform any other checks using your stats. If it would ever have to Resist, or once its activated time ends, it collapses back into its puppet form, and you can choose whether it falls to the ground where it was or if it magically flies back to your hand. While it is active, anybody who wants to determine if it is real can make a Read Person check against your artifact check if the puppet is taking a human form, or a Creature check against your artifact check otherwise. On one degree of success, they can tell the Puppet isn’t a real person or creature, but they can’t tell anything else. On two, they can tell it’s a puppet, and on three, they can follow its magic back to you.",artifact_63i1s8Al5F9a4i
LI HUAN’S DIVINE WINGS,STANDARD,RESTORATION,3600,35,WIN OVER,14,"A pair of thin silver bangles that shimmer softly, making you come across, somehow, as a little more trustworthy and likable. You can activate them at any point by making a DC14 Win Over check, and on success, they light up in pale blue, creating a spectral pair of shimmering white wings on your back. This state lasts for five minutes, during which time you can touch somebody and remove one Condition stack from them, and the magic flowing through them makes them immediately more likely to like you, as if succeeding on a Win Over check against them. Doing this instantly ends the state and stores the Condition stack into the bangles, which become dull and gray and lose their abilities. At any point, you can pull the Condition out and take it onto yourself, at which point the bangles regain their luster and can be used as before. You cannot pull a Condition out of yourself this way. I love your self-esteem, but you can’t charm yourself. On more degrees of success, you become more likable while the effect is active, and people like you better when you remove a Condition from them.",artifact_64RN8xxGVEvPMP
SACRED LETTER,STANDARD,RUNOLOGY,3700,37,RESEARCH,16,"A silvery baton covered in runes everywhere except for one spot right along the center. While you have this artifact attuned to you and on your person, you can take a +4 to Runology checks to read runes. You can also use it with a DC16 Research check to touch the tip of it to a rune, and on success, it will copy the rune onto the blank space on the artifact (at the GM’s discretion, a given rune may be too big or complex to fit). Once a rune is copied this way, it can be placed somewhere else by touching the baton to another surface, at which point the rune leaves the baton and is placed on the surface, reacting as if freshly created on the surface. This can often have unexpected consequences, so wear PPE.",artifact_65Sg6vvMg1HFvw
VALEY’S LITTLE WORKSHOP,STANDARD,ENCHANTMENT,4000,35,"ANALYZE, ART",10,"A miniature version of a quaint little workshop that looks like a dollhouse and contains a clockwork figure that mills around checking its tools and workbenches while it’s idle. If you have a damaged object, including an artifact or enchanted object, you can roll Analyze or Art, DC10, and on success, you can place it inside the Workshop, which magically expands to fit the object up to a maximum of five feet tall, and the clockwork figure immediately sets to work fixing it. Technically, you can still carry the Workshop around during this period, but it might be impractical if it’s too big. You can choose instead to hide it inside a magic bubble that prevents it from being found by anyone except by you coming back to the place where you hid it, but it will reappear wherever it was left once it finishes repairing. If repairing a regular object, it takes up to a day depending on the damage, at the GM’s discretion, but if repairing an enchanted object or artifact, it takes 1 day for every 250 materials that would have gone into creating the enchantment or artifact (rounding up). Once it’s finished, the clockwork figure looks really proud of itself.",artifact_66avOUeRuWJOZS
ENDRYA’S HOLLOW MASK,STANDARD,NECROMANCY,3000,38,CONCENTRATION,17,"A pure-white mask with jet-black shapes where there should be eye holes and a mouth. At any point while you are attuned to it, you can put on the Mask, and make a DC17 Concentration check, leaving your body behind on a success and ascending as an incorporeal entity that cannot be detected except by a DC40 Perception check. You can move about as quickly as you can while walking and pass through nonmagical surfaces, and you have one minute in this state per degree of success. While in this state, you can touch somebody, planting terrible emotional anguish. They must roll Comprehend versus your Concentration check or be forced to Resist. Doing this cuts the remaining time you have in this state by one minute, but you can do it if you have less than one minute left in this state, ending the effect immediately after. Once the effect ends, you snap back to your body, which stays in place unconscious and impossible to wake during the effect. Not exactly the most charming artifact to have, but I guess it’s cool if you’re a sick freak.",artifact_67oY7omwIJVhiK
VASHNAR’S CROWN,STANDARD,HERBALISM,3000,37,IMPROVISE,15,"A woven crown made of magic vines covered in small blossoms that open when its magic is activated. You can activate its magic at any point and make a DC15 Improvise check, and on success, you create a Spore Figure, a cloud of spores that forms a copy of yourself, disguising itself with illusion magic. The Spore Figure lasts for 10 minutes, during which time it acts as a creature separate from you that you can send telepathic communications to and sense what it is sensing, from anywhere. It has 3 Resolve and rolls 4/(4 * your degrees of success), and though it is separate from you, it will always be friendly to you and always want to do what you ask. Anyone trying to see through it can roll Perception versus your Improvise check, seeing through its illusion on a success. For each degree of success past the first, you can double the time the Spore Figure is summoned or create a second Spore Figure.",artifact_68sjD96Wboa2Kh
STARLIT DREAMS,STANDARD,HYPNOMANCY,3400,36,WILLPOWER,15,"A small heart-shaped bottle with a crystalline stopper that can pull out one single brilliant pink droplet from the bottle. When you do, roll Willpower, DC15, and on success, the droplet is stable. You can place the droplet into a drink or piece of food, and whoever consumes it will have to roll Willpower versus your check or fall asleep for half an hour per degree of failure. The target can choose to fail the check. If you put the droplet directly into the target’s mouth, they roll Willpower with a -8 penalty, and you can also put it on an object, in which case whoever touches that object will have to roll instead but take a +4 bonus. If you have a dreamscape of your own creation, you can choose to have someone who falls asleep this way enter that dreamscape immediately. If you fail the Willpower check to use the bottle, the droplet pulled out is unstable, bursting into a pink cloud that puts you to sleep for one minute per degree of failure. But if you’re having a slumber party, is that really even a risk?",artifact_693lXCYLz6QsDx
BEAST BANISHER,STANDARD,BESTIOLOGY,2900,39,CREATURE,16,"A horn made of bone, banded with thick strips of glowing golden magic. You can blow into it (1AP) to let out a low, baleful note that is particularly potent to beasts. Roll Creature, DC16, and on success, it releases a blast of magic sound. Any beasts nearby must make an Endurance roll versus your check or Resist, and if they fail the Resist check, then in addition to taking a condition, they are bound by the strips of glowing golden magic as well. A creature that has resisted the effect cannot be affected by it again until some time has passed. When you have the Beast Banisher on you, most beasts will fear you and give you clearance, but some will take it as a provocation and attack you. It’s also pretty ugly and probably won’t get you any dates.",artifact_70bC9XdYXyUQjB
CHRONOCLOAK,STANDARD,ILLUSION,3200,37,"STEALTH, SLEIGHT OF HAND",10,"A stopwatch that has a shutter that can block its face, replacing the display with the abstract design of a laughing face that is the signature of the artifact’s designer. While this artifact is attuned to you and on your person, you cannot be seen in chronomantic investigations, either from the past or the future, although it will only make you yourself undetectable—the way you affect the world can still be seen. You can shutter the stopwatch at any point by rolling Stealth or Sleight of Hand, DC10, and for thirty seconds per degree of success, you will become undetectable in every way. However, after the effect runs out, the shutter snaps open, and an illusory copy of yourself moves through performing everything you did while you were undetectable, making every sound you would have made during that time.",artifact_71NLroEt1nOr1t
TRUTH MERCHANT,STANDARD,DIVINATION,3500,37,PERSUASION,15,"A hood that can be pulled down over the eyes, where it covers them with glowing golden eye designs. While you have this artifact equipped, you can pull the hood up and activate the magic to exchange with an extraplanar divinatory entity for information. You can ask the GM any question, and the GM will name a material cost you can pay for an answer to that question, or tell you that such an answer is impossible to give, typically 50-200 materials but up to any number for massive questions that fate itself may hinge on. If you choose to pay the price, roll Persuasion, DC15. On success, you can pay the materials and obtain the GM’s answer. Further degrees of success past the first haggle the price down, reducing the cost by 50 materials for each extra degree of success (minimum 0). In addition, while this artifact is equipped, the GM may tell you when a situation or an NPC you face conceals a secret you could buy.",artifact_72ttcRTz8jFlS6
SCALE OF THE ABYSSAL COURT,STANDARD,DEMONOLOGY,3200,37,COMPREHEND,13,"An intricate banded bar just big enough to hold in your hand, with an intricate abyssal steel design on either side, perfectly balanced but that weighs down to one side with the hurt on the wielder’s heart, becoming more unbalanced the more conditions you have. When you have at least 1 condition, you can channel your thoughts through the scale and roll Comprehend, DC13. On success, you commune with a demon who offers a deal to clear a number of conditions equal to your degrees of success, in exchange for a favor the demon names. There are no consequences for refusing the deal, but you will have to roll again if you want to seek another deal another time. If you do what the demon asks, you instantly have the agreed-upon number of conditions restored, although if you restore more than 1 stack of Doubt this way, you must roll Willpower, DC15 or become possessed by a demon for 15 minutes via a loophole in the agreement.",artifact_73gIYI1hWs6Vyk
JAR OF SOULS,STANDARD,NECROMANCY,3400,35,PERSUASION,16,"A glassy container that can take different shapes, but always churns with a faintly visible swirl of magic. While you have this artifact equipped, you can detect from a distance any place where lingering soul energy remains, typically either where a creature has died recently or a place haunted by a dead spirit. When confronting lingering soul energy, you can roll Persuasion, DC16 or versus the Willpower roll of the target if it’s a creature that resists, to soothe the soul energy and place it into the jar. The jar can hold up to four distinct souls indefinitely, and at any point, you can use one without a check to do any of the following: • Place the soul into a target container, animating it with the soul for 1 hour • Take a +2 to your next spell check • Gain an insight about the current situation • Force a target to Resist Fear • If you use the container to make sourdough starter, the resulting bread pleads for its own destruction. We don’t recommend it.",artifact_74Ys3r6tk95Gfk
SAPHI’S SANCTUARY,STANDARD,DEMONOLOGY,3200,35,WIN OVER,14,"A small crescent-moon pendant made of lunar silver that emanates a soft, gentle glow, making it harder for people to be angry at you even if they have reason to while you have it equipped. You can touch the bottom tip of the crescent and speak a command word that you choose when you attune to this artifact to activate its magic and roll Win Over, DC14. On success, you create a shimmering sphere of silvery magic light that covers a space one meter around you in every direction and lasts for 5 minutes, laced with subtle mind-altering demonic energies. Anyone in this sphere who you don’t specify as exempt becomes soothed, and cannot be angry unless they make a Concentration check versus your spell check + 4. For each degree of success past the first, you can double the size or the duration of the sphere.",artifact_75zA2ZDjWz5lE0
SWEET DREAM BASTION,STANDARD,HYPNOMANCY,3200,36,WILLPOWER,15,"A silvery diadem with delicate pink crystal designs woven in at the edges, shimmering with faint hypnomantic magics. While you have this artifact equipped, you can never be forced to enter somebody else’s dream, and your dreams cannot be altered with hypnomancy. When you restore a condition from sleep while this artifact is equipped, you can clear two stacks of the same condition. Any time you are in a dream with this artifact equipped and you are forced to Resist, you can instead use this artifact and roll Willpower, DC15 to leave the dream instantly instead of rolling Resist. You can also roll Willpower, DC15 whenever you are in a dream to use this artifact to reach out and pull one person into your dream, although if they are unwilling, they can roll Concentration versus your check to resist the effect.",artifact_76rI7WSB7cSXYd
CALVAR’S MERCY,STANDARD,RESTORATION,3000,38,READ PERSON,14,"A band worn around the top of one arm that glows a faint pale blue when equipped. While this artifact is equipped, you can tell by looking at someone how many conditions they currently have. Any time somebody you can see is forced to Resist a non-Wound condition, you can use this artifact and roll Read Person, DC14 to create a swell of magic light down your arm as it reaches out and bolsters the mind of the target. On success, the target can take a +2 bonus for each degree of success on your check. If they still fail, you can choose to absorb the condition into the artifact instead, delaying the onset of the condition by up to an hour but preventing you from using this artifact until the target takes the condition. You can choose to release the stored condition early. A popular artifact with people-pleasers.",artifact_77QvjeSixJ1IyK
EYES OF THE RED DEER,STANDARD,DIVINATION,3500,37,COMPREHEND,14,"A pair of small ornate crystal pieces worn above either ear, the divinatory magic in them scans the surroundings and whispers reads of the situation into your mind. While this artifact is equipped, you know automatically when somebody is lying as in the spell Greater Insight, and you can take a +4 to rolls for Action. You can name a Target you want to find, including a person or an intangible like an answer to a given question, and roll Comprehend, DC14 to activate the artifact’s deeper powers. On success, you enter the Tracker state, giving a +4 to any rolls to help you find your Target. You stay in this state until you’ve found your Target or until you give up, but giving up forces you to Resist Doubt, DC13. You cannot use this ability again until you’ve left the Tracker state. Popular with Enforcers, this artifact is patented by the infamous Red Deer Guard enforcers from Schwarzwald Akademie in Germany, who are known for being serious, diligent, and extremely kinky. It’s always the repressed ones.",artifact_78R0m6W4ACS1Zl
HAND OF THE RICH KING,STANDARD,TRANSMUTATION,4200,34,SEARCH,5,"A royal-purple artifact worn over the back of one hand, with long, thin lines running from the wrist out to the fingertips that pulsate with magic. When this artifact is equipped, every morning, you may roll Search, DC5 and take 50 materials per degree of success, as the Hand coalesces ambient matter into magic materials. This check does not trigger artifact backfires. You may also use the hand to burn materials to empower magic. When you cast a spell, you can also roll Improvise, DC10 and, for each degree of success, you can spend 150 materials to add 1 degree of success to your spell roll, possibly changing a failure to a success.",artifact_7930JqEcXCplZ1
HUNTER’S STAFF,STANDARD,DRACONOLOGY,3000,38,WILLPOWER,18,"A heavy oaken staff engraved with draconic symbols down the length of it, a dragon’s head carved at the top. You can drive the tip of the staff into the ground and roll Willpower, DC18, turning the current space into a Sanctuary, claiming it as your own like a dragon claiming their lair. Choose one option for your Sanctuary: • Hidden: anyone trying to find it must roll Perception, DC20 • Warded: anyone trying to enter must roll Willpower, DC20 • Barricaded: anyone trying to enter must roll Athletics, DC20 • You can always choose to let anyone through without a check. When you leave your Sanctuary, you can choose one person you know at least one thing about and roll Willpower, DC18. For each degree of success, you can take a +4 to checks to find them and track them down.",artifact_80fFylKUYftUQH
NASCENT SPELLWEAVER,STANDARD,ARCANE HISTORY,3200,37,COMPREHEND,17,"A small locket that cannot be opened, embossed with impossibly small, intricate designs said to tell a story from the dawn of magic, and that the rest of the inscriptions on the sealed interior hold the secrets to the origins of magic. When you first attune to this artifact, you can choose any Standard or Basic spell to learn instantly as an Arcane History spell instead of its original field, but all its effects remain the same. You can also learn any Advanced spell instantly as an Arcane History spell, but every time you use it, you must tap into this artifact’s power and roll Comprehend, DC17 or you are unable to cast it. You can only use these spells as long as you have the artifact equipped.",artifact_81AaBUuEqmoAgE
BEACON OF COMMAND,STANDARD,DIVINATION,3300,40,CONCENTRATION,5,"A small, intricate magic object like a twisted infinity symbol, representing the eternal nature of duty and responsibility. When you first attune to this artifact, work out with the GM what it wants from you, whether to have you complete a mission, fulfill some greater purpose, improve in some meaningful way, or something else. While this artifact is equipped, you may roll Concentration, DC5 and obtain a Directive, a request from the artifact that furthers its ask of you. For each degree of success, you can add a +1 to checks to complete your Directive. Once you complete your directive, the GM may select a relevant Ability for you to roll to improve. You cannot use this ability again until you complete the Directive.",artifact_82whH2eQzdzIPI
SURGING FLASH,STANDARD,EVOCATION,2800,41,ENDURANCE,15,"A small sigil forged in iron that hangs from a chain, unremarkable until it activates and starts to glow in a brilliant color, the exact color unique to each user. Whenever you roll for Action, you can activate this artifact and roll Endurance, DC15. On success, take +2AP on top of whatever you rolled for Action, and your next Advanced spell cast in the Action scene has 0 material cost, as explosive higher powers awaken inside the sigil. In addition, while this artifact is equipped, any Evocation spells to move you, such as Flight or Stormstep, take 2 extra degrees of success.",artifact_83RfEvNEmSAijE
FAR REALM SONG,STANDARD,TELEPORTATION,3200,38,ART,17,"A small flutelike instrument that shimmers with extraplanar magic. While this artifact is equipped, you are immune to extraplanar stress, and if you know the spell Plane Walk, it takes a +2 while this artifact is equipped. You can play the instrument to activate its power anytime you are on a plane other than your own, calling up a haunting, otherworldly song. Roll Art, DC17. On success, you bond with the current plane, allowing you to teleport to it at any time by using this artifact and rolling Art, DC17 again, and teleporting back by using this artifact without a check. While in your target plane, you can render up to 4 people of your choice immune to the extraplanar stress of that plane, and creatures of that plane will regard you with familiarity. You can unbind yourself from a plane at any time or use this artifact to bind to another plane, but if you have it bound to multiple, then when the artifact backfires, it teleports you to a random one of them.",artifact_844Spd0CJWvwac
ARCHITECT OF FATE,STANDARD,ARCANE HISTORY,3800,39,ART,12,"A double-ended scroll that unrolls to a shimmering magic canvas that seems to constantly be moving in ways you can’t quite pin down. While you have this artifact equipped, every morning, the GM will give you a piece of information about the overarching storyline or about the day to come, as the canvas describes details of fate. You can spend an hour to roll Art, DC12 and weave your own design into the canvas. For each degree of success, you can decide one of the following details of a spell to be cast soon: • Who will cast it • Where it will be cast • What spell it will be • When it will be cast • What it will be cast on • Fate will conspire to make your design come to pass. It will typically happen within 24 hours, but if you make a very specific request or a difficult or unlikely one, it may take longer. If it does not happen within a week, fate weaves over your design, and the fated spell does not take place.",artifact_85TOk2AYU3yNkI
CLOAK OF THE SERPENT,STANDARD,DEMONOLOGY,3000,39,ANALYZE,14,"A dark cloak with a deep violet lining inside that shimmers different colors at different angles like the mythic scales of the legendary Abyssal Serpent of the demonic realm. While this artifact is equipped, you are aware of anybody attempting to cast divination on you, although you don’t know their identity. When this happens, you can roll Analyze, DC14 to tap into the demonic magic of the cloak, and for each degree of success, you can take one of the following against the person casting divination on you: • Learn their identity • Force their spell to fail • Force them to Resist • Learn what spell they are casting • Cast a Demonology spell you know on them no matter where they are • Each one of these cloaks is linked to a specific demon. When you first attune to this artifact, the GM will tell you about the demon, including its twisted motive. While this artifact is equipped, you can communicate freely with the demon at any time, possibly getting information from it if you can make it align with the demon’s interests.",artifact_86jTPPG9RBGLrM
GLIMMERVEIL CHARM,STANDARD,ENCHANTMENT,3700,36,WIN OVER,14,"A tourmaline pendant with intricate runes along the base, gleaming with a subtle fey enchantment. While this artifact is equipped, people are more likely to like you, trust you, and give you the benefit of the doubt. You can roll Win Over, DC14 to activate the crystal’s magic, and for the next 10 minutes per degree of success, you enter a state of such irresistible charm that anyone attempting to not like you must roll Willpower versus your roll or be charmed. When this effect ends, anyone charmed by you who can see you when the effect ends will become aware that you used magic to influence their feelings, and they tend not to like that. Everyone has feelings about the fey, don’t they?",artifact_87Ok6ou6FdF2Rq
SHADOW QUEEN’S ENDLESS SIGHT,STANDARD,ILLUSION,3800,35,HIDE OBJECT,15,"A small crystalline sphere filled with glimmering diamond dust, it stays in place when left in the air, spinning slowly and casting an array of illusory shapes around it. You can use this artifact in two ways: either rolling Hide Object, DC15 to place a tiny sigil in an area or rolling Recall Information, DC15 to activate the sphere and see the sigils you’ve created. When you roll to activate the sphere, you can choose to cast a spell originating from any of the sigils you’ve placed, although you cannot see where you are casting and any targeted spells will hit a random point near the sigil chosen. You can have any number of sigils active, but anyone can make a Search roll against your roll to place a sigil, finding it and, if they choose, destroying it. If they do, you will know the next time you activate the sphere.",artifact_88AwBucO6hKZE6
AVIDAR’S CONDUIT,STANDARD,EVOCATION,3900,36,WILLPOWER,16,"A heavy, solid capsule charged with magic energy crackling like electricity in the center, sparking more aggressively as more magic builds up. When the conduit is fully charged, you can cast any Advanced spell you know for 0 material cost, expending the charge in the process. Once the charge is spent, you can roll Willpower, DC16 to start its charging process, gathering ambient magic and storing it inside the conduit over a period of time depending on your degrees of success: • 1 degree: 24 hours • 2 degrees: 8 hours • 3 degrees: 4 hours • 4 degrees: 2 hours • 5+ degrees: 1 hour",artifact_89ZYLc0zlTcsqo
BRYNHELM’S RESOLVE,STANDARD,ALCHEMY,3300,38,ENDURANCE,15,"A cold steel sigil you can place anywhere on your body, where it settles in like a tattoo, assisting the user in metabolizing potions. While this artifact is equipped, you can take a +4 to Metabolize checks, and when you roll to Metabolize, you can roll Endurance, DC15 to use this artifact, allowing you to reroll on success. You must take the new roll, but you can use this ability as many times as you like within one roll, the artifact DC increasing by 5 each time. If you roll the minimum time to metabolize a potion while this artifact is equipped, you can take a +4 to your next skill check, as intense magic flows out of it and into you. You can remove the sigil from your body, but once you have, you cannot place it in for another 24 hours.",artifact_909RzYFZpT06Go
LUNAR BUTTERFLY,STANDARD,ILLUSION,3500,36,WIN OVER,N/A,"A butterfly charm that can be worn like a lapel pin, hair ornament, earring, or similar, where it gleams with a faint twinkling of magic that makes you look more desirable to people. While this artifact is equipped, people will find you more attractive, and if you fail on a Win Over check, people are less likely to be upset. When you fail a Charm check, you can use this artifact and roll Win Over + 6 versus the same DC, potentially succeeding on the check but doing whatever it is via flirtation or general charm.",artifact_91aPx6E4FbyOCR
GREAT DRAGON’S GUIDANCE,STANDARD,DRACONOLOGY,3700,35,RESEARCH,14,"A delicate golden bangle engraved with ancient draconic symbols, tapping into the ancient original magics of dragonkind. When you attempt to learn a spell, you can roll Research, DC14 to draw from the draconological power in the artifact, reducing the material cost to learn the spell by 100 per degree of success (minimum 0) and taking a +1 to the spell-learning roll for each degree of success. You can also roll Research, DC25 while performing a Downtime option other than spell-learning to attempt to learn a spell while performing your other Downtime option chosen, but it costs 100 materials if you fail. The most important part of the artifact, of course, is that it’s very stylish. The sleek design makes it work in any professional setting while still being a kickass magic dragon device. That’s win-win artificy.",artifact_92kdjT4gYfM11b
TRUNDALE’S FORK,STANDARD,TELEKINESIS,2900,39,SLEIGHT OF HAND,10,"A small magic object that looks, honestly, underwhelmingly, like a generic stainless steel dessert fork. While this artifact is equipped, you know if any door is locked just by looking at it, and you can tell if it’s a regular lock, a magical lock, or an electronic lock. For any regular, non-electronic lock, you can roll Sleight of Hand, DC10 to distantly control the lock with the fork, turning it like a key, to lock or unlock the door without anybody being able to notice. For a magical or electronic lock, the DC becomes 20 or equal to the spell check used to create the magic seal, if applicable. You can use this at any distance so long as you can see the door, even if using amplified vision like binoculars or divination, but not through electronic recreations like a video camera.",artifact_937yO7aCztlBqz
SNEAKSWAP,STANDARD,ILLUSION,3100,37,SLEIGHT OF HAND,16,"A puppet in the shape of a cute cartoon ghost that feels like it’s made of plush black material, it does not look like an artifact. You can activate it, rolling Sleight of Hand, DC16, and on success, it transforms into an illusory copy of yourself for 8 hours or until psychically commanded to stop and, if you have an ability to take on somebody else’s appearance like Glamor or Face Stealer, you take a +6 to use it if you use it at the same time, which makes it last for the same 8 hours or until dispelled. Once this artifact is activated, you can give it instructions that it will faithfully follow until its transformed time runs out, at which point it disappears and reappears back by your side. It has only 1 Resolve and rolls 0/5, and cannot handle complex tasks, but it is a perfect replica of your appearance that will behave naturally, and anyone who suspects it’s not you must roll Perception, DC20 to figure out that it’s an illusion.",artifact_948DTDdTnWLLuM
