NAME,LEVEL,DC,SUBJECT,STAT,RITUAL,VOLATILE,DESCRIPTION,HIGHER-LEVEL BEHAVIOR,ID
SYMBOL OF THE ARCANE,BASIC,5,RUNOLOGY,LOGIC,NO,NO,"Touch a person and cast forth a Runic Blessing, a simple runic mark that glows on their skin. For the next hour, the target gains a +2 bonus to one spell chosen when you cast this spell. You cannot use this spell if you already have a Runic Blessing active on somebody.",The target takes a +2/degree bonus.,spell_92b5De9vwOy4Lc
SYMBOL OF INSIGHT,BASIC,5,RUNOLOGY,LOGIC,NO,NO,"Touch a person and cast forth a Runic Blessing, a simple runic mark that glows on their skin. For the next hour, the target always knows when someone is knowingly lying. This ability does not detect more obfuscated forms of deception, just alerts the target when someone makes a statement they know to be untrue, which technically also alerts you to sarcasm and gets a little annoying. You cannot use this spell if you already have a Runic Blessing active on somebody.","On 4 or more degrees of success, the target can determine when somebody is hiding something beyond just lying outright, and can take a +(0/0/0/2/3+) bonus to Read Person checks to tell what they’re hiding.",spell_93Qfdg253cJUUo
SYMBOL OF CONTEMPLATION,BASIC,5,RUNOLOGY,LOGIC,NO,NO,"Touch a person and cast forth a Runic Blessing, a simple runic mark that glows on their skin. For the next 8 hours, the target takes a +2 to any rolls to perform a Downtime activity. You cannot use this spell if you already have a Runic Blessing active on somebody.",The target takes a +2/degree bonus.,spell_94wIDOoAmQBgjG
SYMBOL OF THE BLACK CAT,BASIC,5,RUNOLOGY,LOGIC,NO,NO,"Touch a person and cast forth a Runic Blessing, a simple runic mark that glows on their skin. For the next hour, the target becomes invisible while standing perfectly still in the shadow, and takes a +1 to Stealth checks. You cannot use this spell if you already have a Runic Blessing active on somebody.","The target takes a +1/degree bonus on Stealth checks. On 4 or more degrees of success, the target can move slowly in shadow while remaining invisible.",spell_95gm8CAeBBG8Cm
SYMBOL OF THE EARTH,BASIC,5,RUNOLOGY,LOGIC,NO,NO,"Touch a person and cast forth a Runic Blessing, a simple runic mark that glows on their skin. For the next hour, the target always knows the way to the closest magic plant and to the closest ley line outcropping, and takes a +1 bonus to any checks to interact with magic plants. You cannot use this spell if you already have a Runic Blessing active on somebody.",The target takes a +1/degree bonus to checks to interact with magic plants.,spell_969hsARqGl47pr
SYMBOL OF GREATER SIGHT,BASIC,5,RUNOLOGY,LOGIC,NO,NO,"Touch a person and cast forth a Runic Blessing, a simple runic mark that glows on their skin. For the next hour, the target can see farther in greater detail, allowing objects to be seen as if they are half the distance away, granting a +1 to Perception checks, and if the target concentrates on a surface less than 6 inches thick for 5 seconds, they can see through the surface. You cannot use this spell if you already have a Runic Blessing active on somebody.",The target takes a +1/degree bonus on Perception checks.,spell_97QJmHdnkzyh20
SYMBOL OF HERMES,BASIC,5,RUNOLOGY,LOGIC,NO,NO,"Touch a person and cast forth a Runic Blessing, a simple runic mark that glows on their skin. For the next hour, the target gains 1 point of Hermes’ Gift. The target can use points of Hermes’ Gift to cast Flight, taking 1 degree of success for each point of Hermes’ Gift expended. You cannot use this spell if you already have a Runic Blessing active on somebody.",The target takes a +1/degree point(s) of Hermes’ Gift.,spell_98Qw5QcKSMFwXs
SYMBOL OF ROYALTY,BASIC,5,RUNOLOGY,LOGIC,NO,NO,"Touch a person and cast forth a Runic Blessing, a simple runic mark that glows on their skin. For the next hour, the target takes a +1 per degree of success to Charm checks against draconic creatures and on any checks forced by draconic creatures. You cannot use this spell if you already have a Runic Blessing active on somebody.",The target takes a +1/degree bonus.,spell_99OomHgaLkGAFg
SYMBOL OF THE ARTIFICER,BASIC,5,RUNOLOGY,LOGIC,NO,NO,"Touch a person and cast forth a Runic Blessing, a simple runic mark that glows on their skin. For the next hour, the target has a +1 per degree of success to attunement rolls and artifact rolls, including backfire rolls. You cannot use this spell if you already have a Runic Blessing active on somebody.",The target takes a +1/degree bonus.,spell_100jSWJYdL0USwV
EMPOWER WAND,STANDARD,13,WANDCRAFTING,FOCUS,NO,NO,"Releases a thin stream of pale green lights that slip into a wand. On success, you imbue a wand you can see with one of the following options for one hour: • Increase one bonus it gives by +1 • Pre-load a spell its holder knows, allowing it to be cast once at 1AP • Fortify it, protecting it from magic nullification or other disabling effects • Charge its magic, giving it +1 to any one spell the holder knows • You cannot cast this spell again until the one-hour bonus runs out.","You can take 1/degree option(s), including the same one multiple times.",spell_101zJggDc9DzaRD
BEARER’S INSIGHT,STANDARD,15,WANDCRAFTING,FOCUS,YES,NO,"You can communicate with a wand to gain insight on it or its caster. On success, the GM will give you one useful piece of information about the wand or its caster, your choice. You cannot use this spell again on the same wand unless you’re in a different situation with it. As a warning, if you use this on a boring person’s wand, you’ll get a boring answer.",You can learn 1/degree piece(s) of information.,spell_102NbAa6Pk84dBt
YAZIR’S WAND STORM,ADVANCED,25,WANDCRAFTING,FOCUS,NO,NO,"If you have access to at least 4 wands, you can cast this spell to command them to form a cloud of wands that float at your command and attack in unison. On success, you can charge one spell you know into the wands and animate them, and they can cast the spell in unison with you, giving you a +4 bonus to that spell. The wand storm lasts until you next go to sleep or fall unconscious, although the spell ends if any of the wands are magically disabled or enter an antimagic area.","You can load 1/degree spell(s) into the storm, taking a +(4/6+) bonus to those spells.",spell_103bEQQTucsuXuC
WANDCHOKE,STANDARD,16,WANDCRAFTING,FOCUS,NO,NO,"Releases a bolt of pale green magic that wraps around the target’s wand and prevents magic from flowing through it. On success, the target must roll Agility or Concentration versus your check or have their wand turned into a magicless object for 1 minute. The inventor of this spell faded into obscurity after everyone made jokes and started calling the spell “artichoke” instead.",You can affect (1/1/2+) target(s). The target wand is disabled for up to (1 minute/5 minutes/10 minutes/30 minutes/1 hour).,spell_1046ahFNnmUSzw2
DOMINATE WAND,ADVANCED,23,WANDCRAFTING,FOCUS,NO,NO,"Releases a clap of pale green magic that reverberates at a target’s wand. On success, the target must roll Agility or Concentration against your check or have their wand Dominated for 30 seconds. While you have a wand Dominated, you can cast spells from that wand as if it is your own, without having to touch it, and if they attempt to cast a spell through it, you can choose the target of that spell. In addition, you gain any bonuses from the wand.","The target wand is Dominated for (30 seconds/1 minute/5 minutes/10 minutes), and you take a +(0/1+) bonus to cast spells through it. On 3 or more degrees of success, they cannot switch their wand until the effect ends.",spell_105Hwr70n1CcLS9
SEEK WAND,BASIC,7,WANDCRAFTING,FOCUS,NO,NO,"You can cast this spell on a wand without rolling for it to make a magic record of the wand. Once you have, you can cast the spell at any time to attempt to find a wand you have a record of. On success, the GM will give you one clue about where to find the wand. You can only use this spell to find a given wand once until you have found it.",You receive 1/degree clue(s) about the target wand’s location.,spell_106OXhYraZCwrwi
LINK WANDS,ADVANCED,23,WANDCRAFTING,FOCUS,YES,NO,"If the casters of two wands, potentially including yourself, are both willing, you can cast this spell on the two wands to create a connection between them. On a success, the two wands are linked, and the bearer of one can tell what the other one is casting through their wand. This connection lasts indefinitely, though either party can terminate it at any point. A wand can only be linked in this way to one wand at a time.",The bearers can (tell what spell the other is casting/speak to each other/communicate telepathically) through their wands. Each bearer can choose (0/1+) spell(s) when this spell is cast that the other bearer is able to cast as if they know it while both wands are active.,spell_107gmyYycfC1LzN
STEAL WAND,STANDARD,14,WANDCRAFTING,FOCUS,NO,NO,"Fires a tether of pale green magic at a target’s wand. On success, the target must roll Endurance or Sleight of Hand versus your check or have their wand ripped from their hands, flying across the tether and into yours. A favorite technique of wandcrafting professors whose students are acting up with their wands in class.",You can affect 1/degree target(s).,spell_108Nrin9mJ5LkFi
CRAFTER’S FUSION,ADVANCED,20,WANDCRAFTING,FOCUS,NO,NO,"Creates a pale-green magic thread that tethers two or more wands together, linking them intrinsically. On success, you can link 1 wand to your current active wand, treating any wand that is linked to your active wand as being active as well. This effect lasts for 1 hour. Using this spell counts as changing your active wand, which means you cannot change your active wand or use this spell again for 24 hours afterwards.",You can link 1/degree wand(s) to your active wand.,spell_109gTNL6WDRY6na
KEY TO THE ARSENAL OF AEONS,LEGENDARY,30,WANDCRAFTING,FOCUS,NO,NO,"You and the enchanted wands of this cosmos are one. On success, you enter a spectral state, a magic starfield overlay shimmering over your body, as a wreath of spectral wands appears over your shoulders. Choose any Advanced or lower wand when you cast this spell. A spectral version of that wand flies from the wreath of wands and into your hand, and you are now equipped with that wand, and it is considered active. If you would take a Condition, the damage is instead transferred into your wand, and it vanishes, and you must pick a new wand to summon to your hand. You can also voluntarily destroy the spectral wand at any time to take a new one. You can take 3 wands this way, and after 1 minute or after your last wand is destroyed, the spell ends, and your original wand returns to your hand. Wands do not consider this infidelity, so don’t worry.","You can take 3/degree wands, and the effect lasts for (1 minute/10 minutes/1 hour).",spell_110JZyGAtnWWRD8
NEPHERA’S REALIGNMENT,STANDARD,12,WANDCRAFTING,FOCUS,NO,NO,"Floods a target’s body with an icy-cold burst of magic that shocks them out of their wand alignment. On success, a willing target, which can be yourself, can switch which wand they have activated immediately. The target must Resist, and they take a -4 penalty for each time they’ve changed wands this way. This penalty resets when they change a wand normally. Nephera invented this spell trying to cure poison ivy rash, and the wand-realignment thing was accidental. She never did manage to cure poison ivy rash, but the spell is very popular.",The target takes a +1/degree bonus to the Resist check.,spell_111zClo3c6IIfVu
WAND CLOAK,STANDARD,10,WANDCRAFTING,FOCUS,NO,NO,"Summons a spectral bubble of pale green magic. On success, you can stow a wand inside the bubble, which then disappears, making it impossible for anyone to find your wand unless they cast this spell on you, which must beat your initial spell check to make the bubble reappear and drop your wand. You can summon the bubble again at any point to take your wand back. You cannot put anything other than wands inside the bubble. Someone once tried to put his Xbox in the bubble, and we all learned enough from that incident. He never even bought a new Xbox.",You can place 1/degree wand(s) inside the bubble.,spell_112eiZy5RKcQF7t
YAZIR’S QUICKSTITCH,STANDARD,10,WANDCRAFTING,FOCUS,NO,NO,"Releases a web of pale-green light that snakes around a damaged wand, filling in the damaged parts. On success, you can instantly restore up to 100 materials’ worth of damage on a wand by spending twice as many materials. A popular spell that’s turned into a pejorative anyway, where anyone who throws away twice as much money instead of just doing ten minutes of effort gets wandcrafters muttering “quickstitch” under their breath.",You can instantly restore up to 100/degree materials’ worth of damage by spending (2/2/2/1.5/1.5/1.25)x as many materials.,spell_113V0ePw9EGOq7l
WISHWAND,STANDARD,10,WANDCRAFTING,FOCUS,YES,NO,"You can cast this spell without a wand without penalties, forming a thin silvery matrix over your fingers on one hand, magic coursing over it like through a wand. On success, you obtain the Wishwand effect for 15 minutes, reducing the penalty for casting without a wand to -4. In addition, if you must roll to cast a spell without anybody noticing, you can take a +1 bonus, as you can cast spells subtly and quietly through your fingers.","The Wishwand effect lasts for (15 minutes/1 hour/3 hours/8 hours/24 hours), and reduces the penalty to (-4/-3/-2/-1/0). Take a +1/degree bonus to check to cast spells subtly.",spell_1145fUIKIGzueFH
WAND BOND,BASIC,N/A,WANDCRAFTING,FOCUS,NO,NO,"If someone has a wand equipped that you crafted, any time you make a Read Person or Win Over check against them, you can choose to roll this spell against the same DC instead, connecting with their magic through the link of their wand.",N/A,spell_115VtCFygLsfINM
SYLENE’S HARMONY,STANDARD,10,WANDCRAFTING,FOCUS,NO,NO,"You can cast this spell on someone you’re friendly with. On success, you link your wand to theirs and create a spectral sigil that glows in pale green on each one, and for 10 minutes, each of you can take the benefits of both wands at once. You can choose to end the effect early. You cannot use this spell again for an hour once it ends. If you harmonize while you have a wand like “powerful stinky garlic breath,” though, they might stop being friendly with you.","You can link with (1/1/1/2/2/2/3) people, and the effect lasts for (10 minutes/30 minutes/1 hour/8 hours/24 hours).",spell_116GvZZi6tLSydH
PASSIONOAK HEART,BASIC,5,WANDCRAFTING,FOCUS,NO,NO,"You can use this spell any time you set out to craft or repair a wand for somebody else. Roll Charm + Wandcrafting rank, and on success, you can take a +1 to the roll to craft or repair the wand, as you pour your magic out to link with the other person through the wand. It also has a tendency to make you feel good things about the other person, so make sure you don’t get a crush on them. Or do, wandcrafters always have crushes.",Take a +1/degree bonus to the roll to craft or repair the target wand.,spell_117pHMgzEl896m0
BLACKHEART ALIBI,HEX (VARIABLE),32,WANDCRAFTING,FOCUS,NO,NO,"When you learn this spell, it will be coupled with another hex, either at your choice from a hex you know or one picked at the GM’s discretion depending on how you learned this spell. You can learn this spell multiple times, coupled with a different hex each time. The AP cost of this spell becomes that of the hex coupled with it. Target a wand as part of casting this spell. If the wand is on somebody’s person, they can roll Concentration versus your spell check to avoid the effect. Otherwise, you pour crackling electric-green magic into the wand, filtering in and leaving it electric to the touch for a few seconds before it settles. Once you have used this on a wand, at any point, you can activate it to have the wand cast the hex coupled with this spell at a target of your choice within range. Any magic to trace the hex will trace it back to whoever is wielding the wand, and not to you.","You can implant 1/degree instance(s) of the hex, whether on the same wand multiple times or on different wands.",spell_118t2S4GtCKp5vK
FEATHERLINK,STANDARD,N/A,WANDCRAFTING,FOCUS,NO,NO,"You can cast this spell on a target who has a wand equipped. Roll Charm + Wandcrafting rank versus their Willpower. On success, you create a spectral flame that flickers in the shape of a phoenix’s feather around your wand and theirs, forming a connection between you. On success, you can choose one of the following: • Take the results of Win Over with one degree of success against them (with the player’s consent, if used on a PC) • You can learn one piece of information about their feelings towards you • You can make one statement you believe to be true and have them know that you truly believe it • They also learn about your feelings towards them, and if you harbor negative feelings towards them, you cannot take option 1. Once you have used this spell, you cannot use it on the same person for another 24 hours.","You can take 1/degree option(s), including taking the same one multiple times.",spell_119MFJfyzJp9kcS
HAYWORTH’S WANDWITHER,HEX (3AP),30,WANDCRAFTING,FOCUS,NO,NO,"Summons a spectral black eagle that streaks towards a target, plunging into their body and merging with them to corrupt their soul-to-wand magic link. On success, the target must roll Willpower versus your spell check or be Wandwithered, forcing them to Resist twice on a spell backfire instead of once. This effect does not apply if they cast a spell without a wand. The Wandwithered effect lasts indefinitely, but if they destroy all of their wands, it ends the effect on them. If this double-backfire effect Downs them, it triggers a special reaction where they don’t like you anymore. Wait, that’s actually just called “the consequences of your actions.” Hexologists aren’t totally keen on that whole idea.",You can affect (1/2*) target(s). An afflicted target takes a -(0/1+) penalty to Resist checks triggered this way.,spell_120PL6JLQrnx1oG
MAGIC MONITOR,STANDARD,15,WANDCRAFTING,FOCUS,YES,NO,"Summons a thin tendril of pale green magic that snakes around a target wand you touch as part of casting this spell before disappearing inside. If the wand is equipped by an unwilling target, they can roll Perception versus your check to notice the effect and stop it. On success, the target wand becomes Monitored, and you can cast this spell at any point as a DC5 Basic spell to learn one of the following per degree of success: • Who is it equipped by right now, if anyone? • Where is it? • What is the last spell it cast? • What is its current condition? • How many Conditions does the person using it have? • You can learn the last spell it cast multiple times, to learn the last several spells it has cast. You can only roll it as a Basic spell once every 24 hours, but you can have as many wands Monitored as you like. Good if you’re a little nosy and an overbearing friend, which, well, wandcrafters… yeah. I can’t fault their intentions.","On 3 or more degrees of success, you can target any wand you see, not just those you touch. On 5 or more, you can target any wand close by whose precise location you know.",spell_1211xzqo0kuwu0u
MINOR PHANTASM,STANDARD,10,ILLUSION,CREATIVITY,NO,NO,"Creates an illusory image. On success, you can conjure any image that fits inside a 1-meter cube. You can choose for it to be stationary or moving, but you must decide the movement it makes when you cast it, and you cannot direct its movement after casting. The illusion lasts for 30 seconds or until you dismiss it. Anyone checking it can make a Comprehend or Perception check versus your spell check to see through it. It does not make sound, although nothing’s stopping you from learning ventriloquism, you know.",You can conjure an image that fits inside a cube of 1/degree meter(s) width. The illusion lasts for (30 seconds/1 minute/5 minutes/30 minutes/1 hour/24 hours/as long as you like).,spell_122WyHGD1SBgDL1
SPECTRAL MASK,ADVANCED,18,ILLUSION,CREATIVITY,YES,NO,"You can alter your appearance. On a success, you can adjust your appearance to another humanoid appearance not too dissimilar to your own (i.e. similar height, similar build). Anyone checking it can make a Comprehend or Perception check versus your spell check to see through it. This disguise lasts for 10 minutes. Side effects may include identity crises.",You can alter your appearance (slightly/to any other human appearance/to anything no bigger than twice your size and no smaller than one quarter your size). The illusion lasts for (10 minutes/30 minutes/1 hour/8 hours/24 hours).,spell_123dBU7Cr5uyRmc
OVERWHELM,ADVANCED,22,ILLUSION,CREATIVITY,NO,NO,"Plants an illusion deep into a target’s mind, driving them to desperate emotions. On success, the target must roll Comprehend versus your check or Resist any non-Wound Condition you choose. If you know a personal fear, weakness, or insecurity of the target, they take a -4 penalty to both checks. Unless the target succeeds on the Comprehend check with 2 or more degrees of success, you can choose for them not to realize they were targeted by a spell, instead believing it came from their own mind or something else in their surroundings. You can cast it on yourself, too, I guess, if you want. Maybe a sensory regulation thing.",You can affect (1/2*) target(s).,spell_124PFD09tcbFlw8
SECOND SELF,STANDARD,14,ILLUSION,CREATIVITY,NO,NO,"Creates an illusory duplicate that looks exactly like yourself and follows your commands. On success, you create one duplicate that you can control mentally as long as it’s within sight, and will follow your instructions otherwise. The duplicate lasts for 10 minutes, and anyone checking it can make a Comprehend or Perception check versus your spell check to see through it. It can make sounds and imitate your voice perfectly, but it is not physically corporeal, so no weird kinky ideas, okay?","You can create (1/1/2/2/3/3+) duplicate(s), which last(s) for (10 minutes/30 minutes/1 hour/3 hours/8 hours/24 hours). On 5 or more degrees of success, you have a telepathic link to your duplicates.",spell_125OmEL6aFEhPkm
BRIEF REALITY,STANDARD,20,ILLUSION,CREATIVITY,NO,NO,"Weaves magic into your illusions to grant them substance. On success, you can choose one illusion you can see and have it become physically corporeal for 1 minute. You cannot cast this spell again until it ends, but you can choose to end the spell early, so you can wait until someone fills that illusory glass with water and is about to drink it before you dispel it.",You can manifest 1/degree illusion(s) for up to (1 minute/10 minutes/30 minutes/1 hour/2 hours/3 hours/8 hours).,spell_12647S3dL00hmay
MUFFLE,BASIC,N/A,ILLUSION,CREATIVITY,NO,NO,A sparkling magic field that settles over the caster. Roll without a DC. Anybody attempting to listen from the outside must make a Concentration or Perception check versus your spell check + 5.,N/A,spell_127AVEaNtRP5Cib
LIGHT,BASIC,N/A,ILLUSION,CREATIVITY,NO,NO,"Creates a small glowing orb of colored light that can either stay on the tip of the wand or be cast to stay in a place, which will stay in one place indefinitely, but can be traced back to you with a DC10 Analyze roll. You can dismiss any light you’ve placed at any time. The color a person chooses for their light is often treated as a reflection of their personality, which is typically not true, but people find their pseudosciences they like.",N/A,spell_128NoHCN8lZKe5f
VISIONS OF THE MISTY REALM,LEGENDARY,29,ILLUSION,CREATIVITY,NO,NO,"A primal magic force that creates an entire illusory realm. On a success, you and up to 4 others you can see must succeed on a Comprehend roll versus your spell check or be plunged into an illusory world of your own design. This realm lasts for 10 minutes, and you can adjust everything in the realm immediately to your liking. Anyone in the realm experiences everything in the realm as if it were real, and can attempt to escape (2AP) with a Comprehend check versus your spell check, being forced to Resist on failure. You can leave and reenter the realm at will, but while outside the realm, you aren’t aware of what’s happening inside, and you can’t adjust the realm. You can illusorily disguise yourself perfectly and imperceptibly as anybody trapped inside your realm without a check.","You can bring (4/6+) other people into the realm with you, and the realm lasts for (10 minutes/30 minutes/1 hour/3 hours/8 hours/24 hours/as long as you like).",spell_129PRDfOfqvFmyd
INVISIBILITY,ADVANCED,20,ILLUSION,CREATIVITY,NO,NO,"A cloak of magic settles around you, rendering you invisible to the naked eye. On success, you become invisible for 10 minutes. The spell is impossible to see through without a counterspell, but you are only invisible—you can still be heard, felt, or if you haven’t bathed lately, smelled.",The invisibility lasts for (10 minutes/20 minutes/30 minutes/1 hour/2 hours/3 hours/8 hours). You can render (0/1+) other willing target(s) invisible with you.,spell_130kRTf4vIt362l
GLAMOR,STANDARD,15,ILLUSION,CREATIVITY,NO,NO,"A classic illusion technique to take on an alternate appearance. You can learn this spell multiple times. When you learn this spell, pick a specific human appearance. On success, you can take that appearance for 10 minutes. Anyone attempting to see through the illusion must roll Comprehend or Perception versus your spell check + 5.",You are disguised for (10 minutes/20 minutes/30 minutes/1 hour/3 hours/8 hours/24 hours).,spell_131gK0JlRVK9seP
RESOLUTE GLAMOR,ADVANCED,20,ILLUSION,CREATIVITY,YES,NO,"A deep-rooted glamor that provides more serious illusory cover than the common Glamor. You can learn this spell multiple times. When you learn this spell, pick a specific human appearance. On success, you take on that appearance for 3 hours. Anyone attempting to see through the illusion must roll Comprehend or Perception versus your spell check + 10. A particular favorite of genderfluid people.","You are disguised for up to (3 hours/24 hours/1 week/any amount of time). On 3 or more degrees of success, only antimagic can counter the effect. On 5 or more degrees of success, you can maintain the effect even in antimagic.",spell_132SCLwBpPqL8rI
NONDETECTION,ADVANCED,21,ILLUSION,CREATIVITY,NO,NO,"A shimmering magic barrier envelops you and up to 4 others. On success, anyone attempting to perceive you in any way must roll Perception versus your spell check + 8. Popular among people doing things they shouldn’t.","Disguises you and up to (4/6+) other people. On 3 or more degrees of success, you are undetectable to any form of magic that doesn’t beat your spell check + 8.",spell_13355b1bxvOAjhT
LITTLE LIE,STANDARD,14,ILLUSION,CREATIVITY,NO,NO,"Drops a single droplet of multicolored magic onto the ground, which snakes its way over to a target. On success, the target must roll Comprehend versus your spell check + 4, or be closed into an illusion that only they can see and hear. The illusion lasts for 1 minute, and any time the target encounters a sensation that clashes with their perception—for example, they try to pick up something that isn’t there—they can roll Comprehend again.","You can affect (1/2*) target(s), and the effect lasts for up to (1 minute/2 minutes/5 minutes/10 minutes/30 minutes/1 hour/8 hours/24 hours/3 days/1 week).",spell_1347j3dJGvD1E8i
VALEY’S CLOAK,STANDARD,10,ILLUSION,CREATIVITY,NO,NO,"Casts a shimmering veil of multicolored magic light over an object, swallowing it up into invisibility. On success, a target object within your reach that is small enough to hold in your arms is rendered invisible for 30 seconds. You can end the cloak effect at any point. Keep in mind the object is only made invisible, and if you hit someone with an invisible baseball bat, they’ll still notice.",You can render 1/degree target(s) invisible for (30 seconds/1 minute/3 minutes/5 minutes/10 minutes/30 minutes/1 hour/3 hours/8 hours/24 hours).,spell_135oQ1IlS5inIe5
DISGUISE OBJECT,BASIC,5,ILLUSION,CREATIVITY,NO,NO,"You can cast this spell on an object no bigger than your hands and disguise it as something else. On success, the object is disguised as a different object for 10 minutes. Anyone attempting to see through the illusion must roll Analyze versus your spell check. You cannot end the effect early, and you cannot cast this spell again until the effect ends.",You can increase or decrease the amount of time the object is disguised by 2/degree minutes.,spell_136Wcm3bYeM1ZDn
MARWYN’S STENCH,BASIC,5,ILLUSION,CREATIVITY,NO,NO,"Summons a wisp of multicolored magic that swirls around the tip of your wand before it becomes invisible and streaks towards a point of your choosing. On success, you can create an illusory scent at the point of impact, and it cannot be traced back to its caster by any means. The effect lasts for at least 5 minutes, after which time it disappears whenever you will it to or after 1 hour.",The smell can be anything up to a(n) (barely perceptible/subtle/noticeable/prominent/potent/overwhelming/unbearable) level within up to (1/2*) meter(s) of the source.,spell_1370cO57xU56PM7
NYX’S SMOKE,STANDARD,16,ILLUSION,CREATIVITY,NO,NO,"Creates a cloud of deep violet magic smoke that swirls outwards and enshrouds a target. On success, you create a cloud of illusion smoke that covers any one effect that allows somebody to detect something from afar, such as a Scry spell, a divination artifact, attunement to an artifact that can sense its surroundings, a divination rune, or even nonmagical effects like a security camera, for 5 minutes, during which time the detection appears to continue as normal but is only seeing a simulated version of what it was looking at. The smoke is still visible to anyone looking normally, however.","The smoke lasts for up to (5 minutes/10 minutes/30 minutes/1 hour/3 hours/8 hours/24 hours). On 3 or more degrees of success, anybody looking normally must roll Perception versus your spell check to see the smoke.",spell_138PrOUYH6S2sbh
BLACKSKULL HAZE,STANDARD,10,ILLUSION,CREATIVITY,NO,NO,"Fires a bolt of crackling multicolored magic energy that strikes a person and afflicts their perception. On success, the target must roll Comprehend versus your check or be afflicted for 30 seconds with one of the following conditions of your choice: • Cannot run • -6 to Perception • All targeted spells miss • Cannot pick things up or operate objects • Vision is blurred at more than 2 meters distance • Cannot hear • You can choose 1/degree option(s), and the effect lasts for (30 seconds/1 minute/2 minutes/3 minutes/5 minutes/10 minutes/30 minutes/1 hour). On 3 or more degrees of success, you can choose to have the spell be invisible and untraceable back to you.",,spell_139OaNRqfBOJEE6
TRUNDALE’S MISCHIEF,STANDARD,13,ILLUSION,CREATIVITY,NO,NO,"Creates a spectral figure that looks like a small demonic figure that crackles once before it disappears. On success, you place an enchantment over the area you are in and describe what you want people to detect if they use divination on that space in the time you were there. Any divination magic that doesn’t roll higher than your spell check + 8 will see the fake situation you described instead of what actually happened. Nobody knows what happened to the infamous rascal Trundale, but a part of him is said to live on in the little demonic figure summoned by this spell, which will giggle if the fake scenario you have in mind is particularly devious. Illusionists take a giggling Trundale as a great badge of honor.",N/A,spell_140QBUQ83SIbSgY
NIGHTMARE BLADE,STANDARD,14,ILLUSION,CREATIVITY,NO,NO,"Creates a crackling magic energy that forms itself into an illusory weapon and attacks a target. On success, a target must roll Comprehend versus your spell check or be so convinced by your illusion that they perceive themselves as being actually wounded by it, and they must Resist Wound versus your spell check. If they receive a stack of Wound in this way, it only lasts for 10 minutes.",You can affect 1/degree target(s). You can choose for the Wound inflicted this way to last any amount of time up to (10 minutes/30 minutes/1 hour/2 hours/4 hours/8 hours/24 hours).,spell_141Rndt1fo00ryI
FLICKERFAKE,STANDARD,5,ILLUSION,CREATIVITY,YES,NO,"Creates a halo of silvery magic that settles over an object. On success, you can place a magic effect on the object to make a nonmagical object appear magical under inspection, or make a magical object appear nonmagical or of a different type of magic, for example, making an artifact appear like a regular object or making artificy checks to study it reveal different answers about what it does. Any check to determine its true nature must beat your spell check + 6 or instead uncover the false nature. If you fail the roll, you leave a permanent trace instead that you were casting magic on it, and even worse, your illusionist friends will laugh at you because this one’s really hard to mess up that badly.",N/A,spell_142KLv1qMTXxIxN
SHATTER,STANDARD,15,EVOCATION,FOCUS,NO,NO,"Sends a wave of thin, electric-blue magic shatter lines out from the tip of your wand with a loud crash. On success, you emit a wave of destructive force that can break objects in the effect range, and anyone caught in the burst must roll Endurance versus your check or be forced to Resist. Essentially for when you’re too special to use a hammer.",You can affect 1/degree target(s).,spell_143tstpJ5JmhwVR
SHAPE EARTH,STANDARD,11,EVOCATION,FOCUS,NO,NO,"Summons a cloud of sparkling blue magic that lances into the earth. On success, you can reform up to 1 cubic meter of earth as if it were an extension of your own body. The earth will glow for a while with your magic trace left on it, so it’s not a good way to hide a body.",You can reform up to (1/2*) cubic meter(s) of earth.,spell_144cgQnUYeqpQVD
CONDENSE AIR,STANDARD,13,EVOCATION,FOCUS,NO,NO,"Presses air down into a solidified form, creating a physical object. On success, you can create a small, simple object out of condensed air that will last for 1 minute. If you move the object slowly, it can pass through anything that air can pass through, but if you move it quickly, it will act as a solid object.","You can make an object that fits in (your hand/your arms/a 1-meter cube/a 2-meter cube/a 3-meter cube/a 4-meter cube), and it will last up to (1 minute/5 minutes/15 minutes/1 hour/3 hours/8 hours/24 hours).",spell_145BntwXadCdqjG
FLIGHT,STANDARD,14,EVOCATION,FOCUS,NO,NO,"Propels you through three dimensions with a shudder of magic energy that ripples through the air. On a success, you can fly slowly for 1 minute. A wave of air fires out in every direction around you when you land or take off, disturbing your surroundings.","You fly at (0.5/1/1.5/2/3+)x your running speed for (1 minute/5 minutes/10 minutes/20 minutes/1 hour). On 4 or more degrees of success, you can take off silently.",spell_146jpn2SEeR1rid
AVIDAR’S WINGS,ADVANCED,22,EVOCATION,FOCUS,YES,NO,"Summons a spectral set of glowing blue wings that carve the air around you, giving you the ability to fly at twice your running speed for extended periods. On success, you can fly freely for 1 hour. You can retract the wings to hide them and re-extend them at any point during this time. While flying, you can take a +2 to Body checks. The wings also offer you the benefit of looking pretty cool, which is the most important part.",You can fly at (2/4+)x your running speed for (1 hour/3 hours/8 hours/24 hours). Take a +(2/3+) bonus to Body checks while flying.,spell_147uzLl7rqH8WQD
BURST,BASIC,N/A,EVOCATION,FOCUS,NO,NO,"Summons a small blue orb of rune-covered magic that bursts shortly after. The burst isn’t enough to break anything sturdy or hurt somebody, but you can scare the living daylights out of someone who’s getting too relaxed.",N/A,spell_148X3hhyVbvKjFC
